XDUT.I0.I19\|XA20\|CK_B (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 3.2e-07 to 3.5e-07) Y,XDUT.I0.I19\|CP\(13\) (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|CP\(13\) (subrange from 3.2e-07 to 3.5e-07) Y,XDUT.I0.I19\|XA0\|CE1_N (subrange from 3.2e-07 to 3.5e-07) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 3.2e-07 to 3.5e-07) Y
3.227029379317201e-07,-0.000308568065520376,3.227029379317201e-07,0.7100232839584351,3.227029379317201e-07,-0.0005696604494005442
3.227045823220614e-07,-0.0006110666436143219,3.227045823220614e-07,0.7099890112876892,3.227045823220614e-07,-0.0009152276907116175
3.227062495054195e-07,-0.0007565050618723035,3.227062495054195e-07,0.7099528312683105,3.227062495054195e-07,-0.001045739976689219
3.227095838721356e-07,-0.000880990584846586,3.227095838721356e-07,0.7098796963691711,3.227095838721356e-07,-0.001129457610659301
3.227140593702591e-07,-0.001019262941554189,3.227140593702591e-07,0.7097895741462708,3.227140593702591e-07,-0.00111650163307786
3.227184397167042e-07,-0.0009954309789463878,3.227184397167042e-07,0.7097193002700806,3.227184397167042e-07,-0.0008480401593260467
3.227227369160606e-07,-0.0008063607383519411,3.227227369160606e-07,0.7096787691116333,3.227227369160606e-07,-0.0004358785809017718
3.227265323843381e-07,-0.0004997072974219918,3.227265323843381e-07,0.7096686959266663,3.227265323843381e-07,6.701365782646462e-05
3.227311962283509e-07,-0.0001747901987982914,3.227311962283509e-07,0.7096789479255676,3.227311962283509e-07,0.0005024414276704192
3.22736963719641e-07,0.0001592469488969073,3.22736963719641e-07,0.7097060680389404,3.22736963719641e-07,0.0008018306107260287
3.227418043241622e-07,0.000367249536793679,3.227418043241622e-07,0.7097314596176147,3.227418043241622e-07,0.0007838278543204069
3.227470212966422e-07,0.0003910742816515267,3.227470212966422e-07,0.7097547650337219,3.227470212966422e-07,0.0005872327601537108
3.227507990693936e-07,0.0003327887097839266,3.227507990693936e-07,0.7097657322883606,3.227507990693936e-07,0.0003557884483598173
3.227538244252747e-07,0.0002707709791138768,3.227538244252747e-07,0.7097700238227844,3.227538244252747e-07,0.0002241962356492877
3.227572769416717e-07,0.0002277663588756695,3.227572769416717e-07,0.7097689509391785,3.227572769416717e-07,0.0001535606133984402
