XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) Y
4.673032396636369e-06,3.802013452514075e-06,4.673032396636369e-06,3.822258349828189e-06,4.673032396636369e-06,2.025959474849515e-06
4.673039512427736e-06,2.137100636900868e-06,4.673039512427736e-06,3.636776000348618e-06,4.673039512427736e-06,-1.172097995549848e-06
4.67304657898914e-06,4.112846738735243e-07,4.67304657898914e-06,3.549819439285784e-06,4.67304657898914e-06,-5.138928827363998e-06
4.673048960716489e-06,1.109269618382314e-07,4.673048960716489e-06,3.554981049092021e-06,4.673048960716489e-06,-7.389395250356756e-06
4.673053724171187e-06,5.265625304673449e-07,4.673053724171187e-06,3.628777221820201e-06,4.673053724171187e-06,-7.353913133556489e-06
4.673058627749789e-06,2.176544057874708e-06,4.673058627749789e-06,3.797519639192615e-06,4.673058627749789e-06,-5.490519924933324e-06
4.673062703799435e-06,5.016516752220923e-06,4.673062703799435e-06,4.000970420747763e-06,4.673062703799435e-06,-6.449901093219523e-07
4.673068780363058e-06,7.985080628714059e-06,4.673068780363058e-06,4.321796495787567e-06,4.673068780363058e-06,5.455852715385845e-06
4.673074494928606e-06,1.156865982920863e-05,4.673074494928606e-06,4.567688847600948e-06,4.673074494928606e-06,1.506711032561725e-05
4.673079892518836e-06,1.307270304096164e-05,4.673079892518836e-06,4.722933681478025e-06,4.673079892518836e-06,2.222774128313176e-05
4.67308662105419e-06,1.301213342230767e-05,4.67308662105419e-06,4.822321443498367e-06,4.67308662105419e-06,2.649619091243949e-05
4.673096500148735e-06,1.190009697893402e-05,4.673096500148735e-06,4.848659955314361e-06,4.673096500148735e-06,2.882021362893283e-05
4.673116258337823e-06,9.854690688371193e-06,4.673116258337823e-06,4.739385531138396e-06,4.673116258337823e-06,2.842789035639726e-05
4.673146952405205e-06,6.765467333025299e-06,4.673146952405205e-06,4.506534423853736e-06,4.673146952405205e-06,2.261524059576914e-05
4.673185857062289e-06,4.458994681044715e-06,4.673185857062289e-06,4.232922037772369e-06,4.673185857062289e-06,1.296946084039519e-05
4.673211264191498e-06,3.421600240471889e-06,4.673211264191498e-06,4.070722752658185e-06,4.673211264191498e-06,5.033327852288494e-06
4.673233589230403e-06,3.291449957032455e-06,4.673233589230403e-06,3.9681326597929e-06,4.673233589230403e-06,2.421800218144199e-06
4.673266242159104e-06,3.517103323247284e-06,4.673266242159104e-06,3.870872660627356e-06,4.673266242159104e-06,1.85621911441558e-06
4.673272668208548e-06,3.672602133519831e-06,4.673272668208548e-06,3.854670922009973e-06,4.673272668208548e-06,1.809985860745655e-06
4.673285520307436e-06,3.57419980900886e-06,4.673285520307436e-06,3.791976268985309e-06,4.673285520307436e-06,1.663819261921162e-06
4.673304063263616e-06,2.853118303391966e-06,4.673304063263616e-06,3.703326456161449e-06,4.673304063263616e-06,1.434688954304875e-07
4.673320346750231e-06,2.026570427915431e-06,4.673320346750231e-06,3.788382628044928e-06,4.673320346750231e-06,-2.602771019155625e-06
4.673336256864776e-06,3.285239245087723e-06,4.673336256864776e-06,3.969820681959391e-06,4.673336256864776e-06,-8.994222184810496e-07
4.673355857631679e-06,5.013998361391714e-06,4.673355857631679e-06,4.157320290687494e-06,4.673355857631679e-06,3.456462764006574e-06
4.673372812697844e-06,5.967517154203961e-06,4.673372812697844e-06,4.242922386765713e-06,4.673372812697844e-06,7.93275648902636e-06
4.673391686869535e-06,5.889484327781247e-06,4.673391686869535e-06,4.267222266207682e-06,4.673391686869535e-06,9.715276064525824e-06
